,depth_fre_game_iter_20,depth_fre_game_iter_31,_runtime,resource/width_resource_usage,Win_Rate/self_play,depth_fre_game_iter_100,resource/width,entropy,resource/depth,resource/total_resource_usage,resource/depth_ratio,resource/depth_resource_usage,_step,resource/remain_resource_ratio,_timestamp,depth_fre_game_iter_10,resource/remain_resource,loss,Win_Rate/Evaluate,depth_fre_game_iter_1,depth_fre_game_iter_50,resource/width_ratio,resource/total_planning_depth
163,1.0,,5972.386042899,,,,,,,,,,415753.0,,1736281998.011754,,,,,,,,
164,2.0,,5972.731599156,,,,,,,,,,416021.0,,1736281998.3573222,,,,,,,,
165,1.0,,5975.032477585,,,,,,,,,,417526.0,,1736282000.6581643,,,,,,,,
166,1.0,,5976.81372425,,,,,,,,,,418812.0,,1736282002.4394243,,,,,,,,
167,1.0,,5980.543423133,,,,,,,,,,421301.0,,1736282006.1690967,,,,,,,,
168,2.0,,5998.374332691,,,,,,,,,,430134.0,,1736282024.0000553,,,,,,,,
169,1.0,,5999.923952754,,,,,,,,,,431260.0,,1736282025.5496676,,,,,,,,
170,1.0,,6001.562423573,,,,,,,,,,432456.0,,1736282027.188105,,,,,,,,
171,2.0,,6002.637101966,,,,,,,,,,432952.0,,1736282028.26279,,,,,,,,
172,1.0,,6006.974092191,,,,,,,,,,435055.0,,1736282032.5997496,,,,,,,,
173,2.0,,6017.674960415,,,,,,,,,,440161.0,,1736282043.3006637,,,,,,,,
174,1.0,,6021.112720032,,,,,,,,,,441764.0,,1736282046.7383997,,,,,,,,
175,1.0,,6024.063559451,,,,,,,,,,443347.0,,1736282049.6892462,,,,,,,,
176,2.0,,6025.672981415,,,,,,,,,,444111.0,,1736282051.2986782,,,,,,,,
177,2.0,,6029.574960493,,,,,,,,,,446030.0,,1736282055.2006533,,,,,,,,
178,1.0,,6031.926531146,,,,,,,,,,447165.0,,1736282057.5521965,,,,,,,,
179,2.0,,6036.683144894,,,,,,,,,,449498.0,,1736282062.3088248,,,,,,,,
180,1.0,,6038.117752175,,,,,,,,,,450138.0,,1736282063.743403,,,,,,,,
181,1.0,,6038.439279493,,,,,,,,,,450281.0,,1736282064.0649483,,,,,,,,
182,2.0,,6056.446610685,,,,,,,,,,459015.0,,1736282082.0722957,,,,,,,,
183,1.0,,6058.017453376,,,,,,,,,,459724.0,,1736282083.6431184,,,,,,,,
184,1.0,,6059.258302341,,,,,,,,,,460302.0,,1736282084.8839626,,,,,,,,
185,1.0,,6061.913827905,,,,,,,,,,461657.0,,1736282087.5394826,,,,,,,,
186,1.0,,6064.77970806,,,,,,,,,,463048.0,,1736282090.4053748,,,,,,,,
187,2.0,,6066.358699781,,,,,,,,,,463878.0,,1736282091.9843988,,,,,,,,
188,1.0,,6066.715965751,,,,,,,,,,464083.0,,1736282092.3416362,,,,,,,,
189,2.0,,6071.048768842,,,,,,,,,,466567.0,,1736282096.6744568,,,,,,,,
190,1.0,,6073.349392033,,,,,,,,,,467688.0,,1736282098.9750357,,,,,,,,
191,2.0,,6073.888068176,,,,,,,,,,467943.0,,1736282099.513752,,,,,,,,
192,1.0,,6080.490366215,,,,,,,,,,471130.0,,1736282106.1160462,,,,,,,,
193,2.0,,6083.446542064,,,,,,,,,,472575.0,,1736282109.0722184,,,,,,,,
194,1.0,,6083.808321767,,,,,,,,,,472744.0,,1736282109.4340038,,,,,,,,
195,1.0,,6086.606829999,,,,,,,,,,474033.0,,1736282112.2325163,,,,,,,,
196,2.0,,6090.792065667,,,,,,,,,,476452.0,,1736282116.4177794,,,,,,,,
197,1.0,,6096.451806041,,,,,,,,,,480228.0,,1736282122.077495,,,,,,,,
198,1.0,,6097.560587662,,,,,,,,,,480965.0,,1736282123.186285,,,,,,,,
199,1.0,,6102.234854806,,,,,,,,,,484326.0,,1736282127.860546,,,,,,,,
200,1.0,,6104.840418929,,,,,,,,,,486320.0,,1736282130.4661095,,,,,,,,
201,1.0,,6105.162862768,,,,,,,,,,486545.0,,1736282130.7885673,,,,,,,,
