,resource/depth_ratio,resource/depth,resource/width_ratio,Win_Rate/Evaluate,_step,loss,resource/width,planning_depth/game_iter_1,planning_depth/game_iter_100,planning_depth/game_iter_50,resource/depth_resource_usage,resource/total_planning_depth,resource/total_resource_usage,planning_depth/game_iter_20,_runtime,planning_depth/game_iter_10,resource/width_resource_usage,entropy,_timestamp,Win_Rate/self_play,planning_depth/game_iter_31
179,,,,,298306,,,,,,,,,3.0,3926.056994917,,,,1736076473.3448029,,
180,,,,,298765,,,,,,,,,2.0,3927.055359664,,,,1736076474.3431737,,
181,,,,,299800,,,,,,,,,2.0,3929.061220478,,,,1736076476.3490298,,
182,,,,,300183,,,,,,,,,2.0,3929.892306222,,,,1736076477.1801302,,
183,,,,,300505,,,,,,,,,2.0,3930.528944724,,,,1736076477.8167577,,
184,,,,,301326,,,,,,,,,2.0,3932.08390059,,,,1736076479.371713,,
185,,,,,304539,,,,,,,,,2.0,3938.674170421,,,,1736076485.9619806,,
186,,,,,306917,,,,,,,,19116.0,,3943.444805619,,,,1736076490.7326324,,
187,,,,,307288,,,,,,,,,2.0,3944.178063366,,,,1736076491.4658694,,
188,,,,,307583,,,,,,,,,2.0,3944.760145019,,,,1736076492.0479512,,
189,,,,,309578,,,,,,,,,3.0,3948.820489651,,,,1736076496.1082966,,
190,,,,,309901,,,,,,,,,2.0,3949.58921757,,,,1736076496.8770268,,
191,0.02796420581655481,27.0,0.9720357941834452,,310244,,918.0,,,,1350.0,50.0,48276.0,,3950.284517376,,46926.0,,1736076497.5723066,,
192,,,,,311610,,,,,,,,,2.0,3953.069843564,,,,1736076500.3576477,,
193,,,,,311888,,,,,,,,,3.0,3953.633648692,,,,1736076500.9214556,,
194,,,,,311935,,,,,,,,,3.0,3953.728707938,,,,1736076501.0165212,,
195,0.03625815808556925,27.0,0.9637418419144308,,312184,,702.0,,,,1350.0,50.0,37233.0,,3962.633447973,,35883.0,,1736076509.9211562,,
196,0.03263707571801567,27.0,0.9673629242819843,,315689,,783.0,,,,1350.0,50.0,41364.0,,4140.314342789,,40014.0,,1736076687.6020439,,
197,0.03450655624568668,27.0,0.9654934437543133,,319648,,756.0,,,,1350.0,50.0,39123.0,,4343.065756962,,37773.0,,1736076890.3534672,,
198,0.02796420581655481,27.0,0.9720357941834452,,321125,,918.0,,,,1350.0,50.0,48276.0,,4419.277449617,,46926.0,,1736076966.5651402,,
