,Win_Rate/self_play,depth_fre/game_iter_50,resource/width,resource/width_ratio,_step,resource/total_resource_usage,_timestamp,entropy,depth_fre/game_iter_10,resource/remain_resource,resource/depth,depth_fre/game_iter_31,resource/remain_resource_ratio,resource/depth_resource_usage,Win_Rate/Evaluate,resource/depth_ratio,depth_fre/game_iter_1,depth_fre/game_iter_20,resource/width_resource_usage,depth_fre/game_iter_100,_runtime,loss
84,,,1134.0,0.934237150951032,58181,4941.0,1736277020.658616,,,891.0,81.0,,0.1527777777777778,324.0,,0.06556050182112505,,,4617.0,,329.40336203575134,
85,,,2835.0,0.9718889269797737,58928,2916.0,1736277026.1775146,,,2916.0,81.0,,0.5,81.0,,0.027768255056564963,,,2835.0,,334.9222605228424,
86,,,1458.0,0.9480740583102788,59098,4698.0,1736277027.34415,,,1134.0,81.0,,0.19444444444444445,243.0,,0.05171313045328793,,,4455.0,,336.08889603614807,
87,,,2511.0,0.969046714774022,60554,5265.0,1736277038.4234107,,,567.0,81.0,,0.09722222222222222,162.0,,0.030763387770603876,,,5103.0,,347.16815662384033,
88,,,1296.0,0.9418604651162791,61153,5589.0,1736277040.5764124,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,349.32115840911865,
89,,,,,62322,,1736277042.7989244,,,,,,,,,,,2.0,,,351.5436704158783,
90,,,,,62702,,1736277043.5319254,,,,,,,,,,,2.0,,,352.27667140960693,
91,,,,,63265,,1736277044.634925,,,,,,,,,,,2.0,,,353.3796708583832,
92,,,2025.0,0.9620400558919422,63800,4293.0,1736277045.6605403,,,1539.0,81.0,,0.2638888888888889,162.0,,0.03772706101537028,,,4131.0,,354.40528631210327,
93,,,,,64252,,1736277046.532163,,,,,,,,,,,2.0,,,355.2769088745117,
94,,,,,64781,,1736277047.5477927,,,,,,,,,,,2.0,,,356.2925386428833,
95,,,1701.0,0.9550478997789241,64979,5427.0,1736277047.9144037,,,405.0,81.0,,0.06944444444444445,243.0,,0.04476787030213707,,,5184.0,,356.65914964675903,
96,,,1377.0,0.9452423698384201,65520,4455.0,1736277048.984007,,,1377.0,81.0,,0.2361111111111111,243.0,,0.05453321364452424,,,4212.0,,357.7287528514862,
97,,,,,65910,,1736277049.782145,,,,,,,,,,,2.0,,,358.5268909931183,
98,,,,,66815,,1736277051.565145,,,,,,,,,,,1.0,,,360.3098909854889,
99,,,2349.0,0.9670174018615945,67224,4941.0,1736277052.3517652,,,891.0,81.0,,0.1527777777777778,162.0,,0.032780250910562525,,,4779.0,,361.0965111255646,
100,,,1296.0,0.9418604651162791,67530,5589.0,1736277052.9613917,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,361.7061376571655,
101,,,,,67597,,1736277053.0875754,,,,,,,,,,,2.0,,,361.83232140541077,
102,,,,,67767,,1736277053.4571846,,,,,,,,,,,2.0,,,362.2019305229187,
103,,,,,68254,,1736277054.3568072,,,,,,,,,,,2.0,,,363.1015532016754,
104,,,2430.0,0.968064263322884,68824,5103.0,1736277057.4657388,,,729.0,81.0,,0.125,162.0,,0.031739811912225704,,,4941.0,,366.2104847431183,
105,,,1944.0,0.9605517909002904,69138,4131.0,1736277059.4177377,,,1701.0,81.0,,0.2916666666666667,162.0,,0.03920619554695063,,,3969.0,,368.1624836921692,
106,,,1701.0,0.9550478997789241,69858,5427.0,1736277064.114129,,,405.0,81.0,,0.06944444444444445,243.0,,0.04476787030213707,,,5184.0,,372.8588750362396,
107,,,1215.0,0.9382833270034181,70721,5265.0,1736277069.9060216,,,567.0,81.0,,0.09722222222222222,324.0,,0.06152677554120775,,,4941.0,,378.65076756477356,
108,,,2673.0,0.9708407871198569,70852,5589.0,1736277070.905021,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,379.64976692199707,
109,,,1539.0,0.9506272764063133,71439,4941.0,1736277074.9183042,,,891.0,81.0,,0.1527777777777778,243.0,,0.04917037636584379,,,4698.0,,383.66305017471313,
110,,,2187.0,0.9647033347769597,73461,4617.0,1736277087.8002734,,,1215.0,81.0,,0.20833333333333334,162.0,,0.035080121264616716,,,4455.0,,396.54501938819885,
111,,,2106.0,0.9634201077199281,73531,4455.0,1736277088.2402744,,,1377.0,81.0,,0.2361111111111111,162.0,,0.036355475763016155,,,4293.0,,396.9850203990936,
112,,,2106.0,0.9634201077199281,73929,4455.0,1736277090.941248,,,1377.0,81.0,,0.2361111111111111,162.0,,0.036355475763016155,,,4293.0,,399.6859939098358,
113,,,1053.0,0.929623213512343,74223,4617.0,1736277092.8658962,,,1215.0,81.0,,0.20833333333333334,324.0,,0.07016024252923343,,,4293.0,,401.6106421947479,
114,,,1539.0,0.9506272764063133,74541,4941.0,1736277094.827038,,,891.0,81.0,,0.1527777777777778,243.0,,0.04917037636584379,,,4698.0,,403.5717840194702,
115,,,1377.0,0.9452423698384201,74935,4455.0,1736277097.2468197,,,1377.0,81.0,,0.2361111111111111,243.0,,0.05453321364452424,,,4212.0,,405.9915657043457,
116,,,1944.0,0.9605517909002904,75867,4131.0,1736277103.39789,,,1701.0,81.0,,0.2916666666666667,162.0,,0.03920619554695063,,,3969.0,,412.1426360607147,
117,,,1134.0,0.934237150951032,77134,4941.0,1736277111.9373899,,,891.0,81.0,,0.1527777777777778,324.0,,0.06556050182112505,,,4617.0,,420.6821358203888,
118,,,2430.0,0.968064263322884,77855,5103.0,1736277116.3705053,,,729.0,81.0,,0.125,162.0,,0.031739811912225704,,,4941.0,,425.1152513027191,
119,,,1296.0,0.9426908834420737,77888,5670.0,1736277116.5725036,,,162.0,81.0,,0.027777777777777776,324.0,,0.05713278081467114,,,5346.0,,425.3172495365143,
120,,,1539.0,0.9506272764063133,77992,4941.0,1736277117.1851552,,,891.0,81.0,,0.1527777777777778,243.0,,0.04917037636584379,,,4698.0,,425.9299011230469,
121,,,2430.0,0.968064263322884,78128,5103.0,1736277118.0471556,,,729.0,81.0,,0.125,162.0,,0.031739811912225704,,,4941.0,,426.79190158843994,
122,,,1296.0,0.9418604651162791,78375,5589.0,1736277119.5884364,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,428.3331823348999,
123,,,2187.0,0.9647033347769597,78463,4617.0,1736277120.2234364,,,1215.0,81.0,,0.20833333333333334,162.0,,0.035080121264616716,,,4455.0,,428.96818232536316,
124,,,1620.0,0.9529411764705882,78980,5184.0,1736277123.8562257,,,648.0,81.0,,0.1111111111111111,243.0,,0.04686595949855352,,,4941.0,,432.600971698761,
125,,,2511.0,0.969046714774022,79379,5265.0,1736277126.494956,,,567.0,81.0,,0.09722222222222222,162.0,,0.030763387770603876,,,5103.0,,435.23970198631287,
126,,,2673.0,0.9708407871198569,80248,5589.0,1736277132.1827853,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,440.9275312423706,
127,,,2430.0,0.968064263322884,80623,5103.0,1736277134.6804395,,,729.0,81.0,,0.125,162.0,,0.031739811912225704,,,4941.0,,443.4251854419708,
128,,,648.0,0.8871696801112656,80757,5751.0,1736277135.65644,,,81.0,81.0,,0.013888888888888888,648.0,,0.11265646731571627,,,5103.0,,444.4011859893799,
