,planning_depth/game_iter_1,resource/width_resource_usage,planning_depth/game_iter_10,_runtime,resource/depth_resource_usage,resource/total_planning_depth,resource/width_ratio,planning_depth/game_iter_31,entropy,resource/width,Win_Rate/self_play,resource/depth,loss,_step,resource/depth_ratio,planning_depth/game_iter_50,Win_Rate/Evaluate,resource/total_resource_usage,_timestamp,planning_depth/game_iter_20,planning_depth/game_iter_100
155,,,,8015.206084935,,,,,,,,,,405645.0,,,,,1736102773.7739444,3.0,
156,,,,8016.645245388,,,,,,,,,,406361.0,,,,,1736102775.2131162,3.0,
157,,,,8029.806711168,,,,,,,,,,412398.0,,,,,1736102788.3745787,3.0,
158,,,,8035.143050194,,,,,,,,,,414860.0,,,,,1736102793.7109153,3.0,
159,,,,8040.668513292,,,,,,,,,,417434.0,,,,,1736102799.2363992,1.0,
160,,,,8041.157732346,,,,,,,,,,417613.0,,,,,1736102799.725603,3.0,
161,,,,8048.631603975,,,,,,,,,,421148.0,,,,,1736102807.1994786,3.0,
162,,,,8050.129577305,,,,,,,,,,421815.0,,,,,1736102808.697466,3.0,
163,,,,8050.656330516,,,,,,,,,,422076.0,,,,,1736102809.224214,3.0,
164,,,,8052.25963233,,,,,,,,,,422802.0,,,,,1736102810.8275049,3.0,
165,,,,8063.568498832,,,,,,,,,,428020.0,,,,,1736102822.1363814,3.0,
166,,,,8068.886413591,,,,,,,,,,430513.0,,,,,1736102827.4542787,2.0,
167,,,,8086.541025077,,,,,,,,,,438758.0,,,,,1736102845.1088977,2.0,
168,,,,8087.870153737,,,,,,,,,,439410.0,,,,,1736102846.43802,3.0,
169,,,,8097.677762851,,,,,,,,,,443905.0,,,,,1736102856.2456305,3.0,
170,,,,8104.473701599,,,,,,,,,,447057.0,,,,,1736102863.0415726,3.0,
171,,,,8105.352076325,,,,,,,,,,447446.0,,,,,1736102863.9199376,2.0,
172,,,,8117.069384693,,,,,,,,,,452865.0,,,,,1736102875.6372519,3.0,
173,,,,8119.246414566,,,,,,,,,,453904.0,,,,,1736102877.8142798,2.0,
174,,,,8136.296666183,,,,,,,,,,461891.0,,,,,1736102894.8645456,3.0,
175,,,,8140.297822908,,,,,,,,,,463754.0,,,,,1736102898.8657053,2.0,
176,,,,8166.927935576,,,,,,,,,,476188.0,,,,,1736102925.4958205,2.0,
177,,,,8184.082091004,,,,,,,,,,484207.0,,,,,1736102942.649956,3.0,
178,,,,8193.213654199,,,,,,,,,,488395.0,,,,,1736102951.7815242,3.0,
179,,,,8196.284601225,,,,,,,,,,489866.0,,,,,1736102954.8524752,3.0,
180,,,,8203.752352874,,,,,,,,,,493313.0,,,,,1736102962.3202274,3.0,
181,,,,8206.244074095,,,,,,,,,,494487.0,,,,,1736102964.8119464,2.0,
182,,,,8225.055728318,,,,,,,,,,503409.0,,,,,1736102983.623597,3.0,
183,,,,8250.153373271,,,,,,,,,,515351.0,,,,,1736103008.7212384,3.0,
184,,,,8252.360864786,,,,,,,,,,516430.0,,,,,1736103010.9287353,3.0,
185,,,,8252.474926986,,,,,,,,,,516486.0,,,,,1736103011.0427954,2.0,
186,,,,8253.988039246,,,,,,,,,,517171.0,,,,,1736103012.5559068,3.0,
187,,,,8258.503666144,,,,,,,,,,519298.0,,,,,1736103017.071531,3.0,
188,,145152.0,,8259.806170859,8100.0,100.0,0.9471458773784355,,,1296.0,,81.0,,519942.0,0.052854122621564484,,,153252.0,1736103018.374022,,
189,,,,8260.972929999,,,,,,,,,,520504.0,,,,,1736103019.5408015,3.0,
190,,,,8262.185086722,,,,,,,,,,521099.0,,,,,1736103020.7529595,2.0,
191,,,,8265.10099304,,,,,,,,,,522475.0,,,,,1736103023.6688747,3.0,
192,,,,8277.825236813,,,,,,,,,,528490.0,,,,,1736103036.3931084,3.0,
193,,,,8290.338410692,,,,,,,,,,534339.0,,,,,1736103048.9062765,2.0,
194,,,,8290.611243888,,,,,,,,,,534399.0,,,,,1736103049.179111,3.0,
195,,,,8291.050276331,,,,,,,,,,534611.0,,,,,1736103049.6181502,3.0,
196,,,,8301.860973163,,,,,,,,,,539702.0,,,,,1736103060.428859,3.0,
197,,,,8305.074546668,,,,,,,,,,541119.0,,,,,1736103063.6424325,3.0,
198,,,,8307.321517952,,,,,,,,,,542156.0,,,,,1736103065.8893926,2.0,
199,,,,8314.579089493,,,,,,,,,,545595.0,,,,,1736103073.1469564,3.0,
200,,,,8315.196257676,,,,,,,,,,545897.0,,,,,1736103073.7641246,3.0,
201,,,,8316.437870821,,,,,,,,,,546492.0,,,,,1736103075.00575,2.0,
202,,,,8321.249780052,,,,,,,,,,548749.0,,,,,1736103079.8176455,3.0,
203,,,,8330.273710714,,,,,,,,,,552976.0,,,,,1736103088.8415773,3.0,
204,,,,8335.554589071,,,,,,,,,,555474.0,,,,,1736103094.1224575,3.0,
205,,,,8702.066491999,,,,,,,,,,559190.0,,,,185166.0,1736103460.6342976,,
206,,218133.0,,8758.258228011,8100.0,100.0,0.9641962047977085,,,2187.0,,81.0,,559731.0,0.03580379520229144,,,226233.0,1736103516.8259687,,
207,,,,9157.879242895,,,,,,,,,,563609.0,,,,278397.0,1736103916.447076,,
208,,245511.0,,9869.393170763,8100.0,100.0,0.9680613222612584,,,2349.0,,81.0,,570500.0,0.031938677738741615,,,253611.0,1736104627.9609227,,
209,,270297.0,,10367.798096205,8100.0,100.0,0.9709048588885656,,,2673.0,,81.0,,575325.0,0.02909514111143439,,,278397.0,1736105126.3658438,,
210,,245754.0,,10462.505250059,8100.0,100.0,0.9680918953414167,,,2430.0,,81.0,,576242.0,0.03190810465858328,,,253854.0,1736105221.0730064,,
211,,,,10572.833930712,,,,,,,,,,577311.0,,,,195534.0,1736105331.4017627,,
212,,193266.0,,10813.481573821,8100.0,100.0,0.9597747385358005,,,1944.0,,81.0,,579653.0,0.04022526146419952,,,201366.0,1736105572.049256,,
213,,212868.0,,11021.227290294,8100.0,100.0,0.9633431085043989,,,2106.0,,81.0,,581663.0,0.036656891495601175,,,220968.0,1736105779.7950265,,
214,,,,11084.336311221,,,,,,,,,,582282.0,,,,220887.0,1736105842.904158,,
215,,245673.0,,11429.150670352,8100.0,100.0,0.9680817108203,,,2430.0,,81.0,,585622.0,0.031918289179699966,,,253773.0,1736106187.7184567,,
216,,,,11526.201052185,,,,,,,,,,586555.0,,,,229149.0,1736106284.7688904,,
217,,218052.0,,11879.671533655,8100.0,100.0,0.9641833810888252,,,2187.0,,81.0,,589963.0,0.03581661891117478,,,226152.0,1736106638.2393272,,
218,,270297.0,,12032.475744806,8100.0,100.0,0.9709048588885656,,,2673.0,,81.0,,591438.0,0.02909514111143439,,,278397.0,1736106791.0435338,,
219,,229311.0,,12304.242497659,8100.0,100.0,0.9658819515523712,,,2268.0,,81.0,,594014.0,0.03411804844762879,,,237411.0,1736107062.8102765,,
220,,,,12375.721804842,,,,3.0,,,,,,602435.0,,,,,1736107134.2896628,,
221,,,,12380.372082614,,,,2.0,,,,,,604551.0,,,,,1736107138.9399645,,
222,,,,12381.108890086,,,,2.0,,,,,,604863.0,,,,,1736107139.6762104,,
223,,,,12381.500300546,,,,2.0,,,,,,605050.0,,,,,1736107140.0681827,,
224,,,,12385.709913425,,,,2.0,,,,,,606980.0,,,,,1736107144.2777789,,
225,,,,12399.081849731,,,,3.0,,,,,,613162.0,,,,,1736107157.6497223,,
226,,,,12405.933331636,,,,3.0,,,,,,616357.0,,,,,1736107164.5012114,,
227,,,,12411.398434251,,,,3.0,,,,,,618860.0,,,,,1736107169.9662976,,
228,,,,12413.03975156,,,,2.0,,,,,,619662.0,,,,,1736107171.607636,,
229,,,,12416.693246627,,,,3.0,,,,,,621377.0,,,,,1736107175.2611172,,
230,,,,12427.11335362,,,,3.0,,,,,,626231.0,,,,,1736107185.681216,,
231,,,,12430.629131872,,,,3.0,,,,,,627918.0,,,,,1736107189.1970005,,
232,,,,12436.958391054,,,,3.0,,,,,,630776.0,,,,,1736107195.52625,,
233,,,,12438.699593696,,,,3.0,,,,,,631641.0,,,,,1736107197.2674606,,
234,,,,12452.282664799,,,,2.0,,,,,,637899.0,,,,,1736107210.850537,,
