,planning_depth/game_iter_10,resource/total_planning_depth,_step,_runtime,loss,entropy,resource/total_resource_usage,Win_Rate/Evaluate,resource/width_resource_usage,planning_depth/game_iter_31,Win_Rate/self_play,planning_depth/game_iter_20,resource/width,planning_depth/game_iter_50,resource/depth,resource/width_ratio,planning_depth/game_iter_100,_timestamp,planning_depth/game_iter_1,resource/depth_resource_usage,resource/depth_ratio
169,,,207559,359.2079242,,,,,,1,,,,,,,,1736065302,,,
170,,,209128,360.7081636,,,,,,2,,,,,,,,1736065303,,,
171,,2,210137,361.6882771,,,171,,165,,,,81,,3,0.964912281,,1736065304,,6,0.035087719
172,,,211807,363.2865843,,,,,,1,,,,,,,,1736065306,,,
173,,2,212765,364.5226126,,,153,,147,,,,72,,3,0.960784314,,1736065307,,6,0.039215686
174,,2,218026,374.405205,,,117,,111,,,,54,,3,0.948717949,,1736065317,,6,0.051282051
175,,,218702,375.7216047,,,111,,,,,,,,,,,1736065318,,,
176,,,218760,375.7651699,,,105,,,,,,,,,,,1736065318,,,
177,,,220192,378.4885882,,,177,,,,,,,,,,,1736065321,,,
178,,2,220357,378.7923679,,,183,,177,,,,87,,3,0.967213115,,1736065321,,6,0.032786885
179,,,223000,383.6650189,,,153,,,,,,,,,,,1736065326,,,
180,,2,223883,385.2928594,,,189,,183,,,,90,,3,0.968253968,,1736065328,,6,0.031746032
181,,2,223913,385.3475314,,,99,,93,,,,45,,3,0.939393939,,1736065328,,6,0.060606061
182,,,225252,387.9051567,,,123,,,,,,,,,,,1736065330,,,
183,,,226471,390.1845432,,,213,,,,,,,,,,,1736065333,,,
184,,,228669,394.2526013,,,96,,,,,,,,,,,1736065337,,,
185,,,228727,394.3623603,,,213,,,,,,,,,,,1736065337,,,
186,,2,229518,395.8127149,,,141,,135,,,,66,,3,0.957446809,,1736065338,,6,0.042553191
187,,2,229684,396.1170409,,,219,,213,,,,105,,3,0.97260274,,1736065339,,6,0.02739726
188,,2,230352,397.3328424,,,84,,78,,,,36,,3,0.928571429,,1736065340,,6,0.071428571
189,,2,230390,397.4043051,,,117,,111,,,,54,,3,0.948717949,,1736065340,,6,0.051282051
190,,2,230748,398.1702353,,,201,,195,,,,96,,3,0.970149254,,1736065341,,6,0.029850746
191,,2,231869,400.3629189,,,189,,183,,,,90,,3,0.968253968,,1736065343,,6,0.031746032
192,,,232972,402.3943503,,,123,,,,,,,,,,,1736065345,,,
193,,,233524,403.4197655,,,195,,,,,,,,,,,1736065346,,,
194,,,234570,405.3439335,,,189,,,,,,,,,,,1736065348,,,
195,,,235112,406.358072,,,183,,,,,,,,,,,1736065349,,,
196,,,235260,406.7643924,,,51,,,,,,,,,,,1736065349,,,
197,,,235528,407.2595202,,,39,,,,,,,,,,,1736065350,,,
198,,2,236747,409.5825992,,,141,,135,,,,66,,3,0.957446809,,1736065352,,6,0.042553191
199,,2,241364,418.098958,,,153,,147,,,,72,,3,0.960784314,,1736065361,,6,0.039215686
